time	V(quada)	V(quadb)
5.956528725513475e-07	5.803342e+01	-5.809292e+01
5.957314403451192e-07	5.805937e+01	-5.811870e+01
5.958260850053470e-07	5.809054e+01	-5.814966e+01
5.959238778673192e-07	5.812262e+01	-5.818154e+01
5.960390824989987e-07	5.816026e+01	-5.821893e+01
5.961967429105310e-07	5.821148e+01	-5.826980e+01
5.964320723778854e-07	5.828727e+01	-5.834509e+01
5.968311731854566e-07	5.841439e+01	-5.847134e+01
5.972144035500279e-07	5.853487e+01	-5.859098e+01
5.975409511158958e-07	5.863637e+01	-5.869176e+01
5.975856482934417e-07	5.865015e+01	-5.870544e+01
5.975968225878282e-07	5.865358e+01	-5.870885e+01
5.976191711766011e-07	5.866044e+01	-5.871566e+01
5.976638683541469e-07	5.867413e+01	-5.872926e+01
5.977121045316310e-07	5.868889e+01	-5.874390e+01
5.977650664096690e-07	5.870506e+01	-5.875996e+01
5.978230366433198e-07	5.872272e+01	-5.877748e+01
5.978881495785195e-07	5.874249e+01	-5.879712e+01
5.979865871887930e-07	5.877226e+01	-5.882666e+01
5.981834624093402e-07	5.883150e+01	-5.888545e+01
5.983019674599445e-07	5.886696e+01	-5.892065e+01
5.983997381557354e-07	5.889607e+01	-5.894953e+01
5.984683654273376e-07	5.891642e+01	-5.896973e+01
5.985355406975552e-07	5.893628e+01	-5.898943e+01
5.986145070972874e-07	5.895954e+01	-5.901251e+01
5.986976506148060e-07	5.898393e+01	-5.903670e+01
5.988639376498432e-07	5.903234e+01	-5.908473e+01
5.991965117199176e-07	5.912801e+01	-5.917962e+01
5.996757202293062e-07	5.926285e+01	-5.931331e+01
6.005785136071694e-07	5.950603e+01	-5.955430e+01
6.023841003628960e-07	5.995119e+01	-5.999488e+01
6.056213023305020e-07	6.064686e+01	-6.068188e+01
6.082343212655718e-07	6.110830e+01	-6.113589e+01
6.104422670594352e-07	6.140770e+01	-6.142863e+01
6.124195665200620e-07	6.159996e+01	-6.161462e+01
6.144883550568161e-07	6.171451e+01	-6.172231e+01
6.174031982754344e-07	6.173078e+01	-6.172846e+01
6.208338614644971e-07	6.155046e+01	-6.153572e+01
6.240538188863953e-07	6.121574e+01	-6.118895e+01
6.244558853389699e-07	6.115702e+01	-6.112869e+01
6.252600182441191e-07	6.101374e+01	-6.098229e+01
6.268682840544177e-07	6.070203e+01	-6.066432e+01
6.270414127238865e-07	6.066564e+01	-6.062726e+01
6.273876700628243e-07	6.058755e+01	-6.054781e+01
6.280801847406998e-07	6.042619e+01	-6.038372e+01
6.282533134101686e-07	6.038430e+01	-6.034116e+01
6.285995707491064e-07	6.029703e+01	-6.025252e+01
6.292513196284609e-07	6.012659e+01	-6.007951e+01
6.298528513788046e-07	5.996195e+01	-5.991250e+01
6.304621738410123e-07	5.978889e+01	-5.973705e+01
6.304678491534989e-07	5.978724e+01	-5.973537e+01
6.304692679816205e-07	5.978682e+01	-5.973495e+01
6.304721056378637e-07	5.978599e+01	-5.973410e+01
6.304777809503503e-07	5.978432e+01	-5.973241e+01
6.304891315753234e-07	5.978098e+01	-5.972903e+01
6.305118328252697e-07	5.977428e+01	-5.972224e+01
6.305523393513639e-07	5.976230e+01	-5.971010e+01
6.305836387470195e-07	5.975303e+01	-5.970071e+01
6.306145632204170e-07	5.974385e+01	-5.969140e+01
6.306434517852160e-07	5.973524e+01	-5.968269e+01
6.306828513427157e-07	5.972348e+01	-5.967077e+01
6.307221520988104e-07	5.971172e+01	-5.965885e+01
6.307633418519289e-07	5.969935e+01	-5.964632e+01
6.308742450486609e-07	5.966583e+01	-5.961237e+01
6.310150868282673e-07	5.962276e+01	-5.956875e+01
6.312967703874801e-07	5.953500e+01	-5.947989e+01
6.318601375059057e-07	5.935592e+01	-5.929861e+01
6.320361897304138e-07	5.929870e+01	-5.924070e+01
6.321066106202170e-07	5.927550e+01	-5.921723e+01
6.321654601947419e-07	5.925606e+01	-5.919756e+01
6.322243097692669e-07	5.923653e+01	-5.917780e+01
